algorithm,num_agents,num_items,distribution,min_value,sum_value,execution_time
Markakis&Psomas,5,100,uniform,849.0,7263.0,0.022767066955566406
RoundRobin,5,100,uniform,842.0,4917.0,0.0
Sequential,5,100,uniform,97.0,492.0,0.0
Markakis&Psomas,5,100,uniform,924.0,7043.0,0.01719498634338379
RoundRobin,5,100,uniform,699.0,4773.0,0.0
Sequential,5,100,uniform,97.0,491.0,0.0
Markakis&Psomas,5,100,uniform,928.0,7001.0,0.009681940078735352
RoundRobin,5,100,uniform,884.0,5406.0,0.0
Sequential,5,100,uniform,99.0,495.0,0.0
Markakis&Psomas,5,100,uniform,970.0,7378.0,0.007426023483276367
RoundRobin,5,100,uniform,864.0,5335.0,0.0
Sequential,5,100,uniform,98.0,493.0,0.0
Markakis&Psomas,5,100,uniform,918.0,7134.0,0.009985923767089844
RoundRobin,5,100,uniform,851.0,4602.0,0.0
Sequential,5,100,uniform,97.0,492.0,0.0
Markakis&Psomas,5,100,normal,937.0,6792.0,0.011041879653930664
RoundRobin,5,100,normal,830.0,4933.0,0.0
Sequential,5,100,normal,93.0,513.0,0.0
Markakis&Psomas,5,100,normal,961.0,6630.0,0.009407281875610352
RoundRobin,5,100,normal,959.0,5087.0,0.0
Sequential,5,100,normal,86.0,496.0,0.0
Markakis&Psomas,5,100,normal,901.0,6689.0,0.008884668350219727
RoundRobin,5,100,normal,931.0,5165.0,0.0
Sequential,5,100,normal,93.0,505.0,0.0
Markakis&Psomas,5,100,normal,968.0,6541.0,0.008332967758178711
RoundRobin,5,100,normal,912.0,4870.0,0.0
Sequential,5,100,normal,89.0,484.0,0.0
Markakis&Psomas,5,100,normal,901.0,6250.0,0.010544300079345703
RoundRobin,5,100,normal,935.0,5101.0,0.0
Sequential,5,100,normal,90.0,467.0,0.0
Markakis&Psomas,5,100,exponential,498.0,4932.0,0.0065419673919677734
RoundRobin,5,100,exponential,472.0,2800.0,0.0
Sequential,5,100,exponential,110.0,788.0,0.0
Markakis&Psomas,5,100,exponential,446.0,5276.0,0.011764049530029297
RoundRobin,5,100,exponential,440.0,2783.0,0.0
Sequential,5,100,exponential,128.0,834.0,0.0
Markakis&Psomas,5,100,exponential,486.0,4974.0,0.007211208343505859
RoundRobin,5,100,exponential,430.0,2532.0,0.0
Sequential,5,100,exponential,118.0,757.0,0.0
Markakis&Psomas,5,100,exponential,565.0,5242.0,0.007070064544677734
RoundRobin,5,100,exponential,542.0,3204.0,0.0
Sequential,5,100,exponential,112.0,730.0,0.0
Markakis&Psomas,5,100,exponential,551.0,5279.0,0.004639148712158203
RoundRobin,5,100,exponential,492.0,3710.0,0.0
Sequential,5,100,exponential,120.0,757.0,0.0
Markakis&Psomas,5,200,uniform,1918.0,14558.0,0.007211208343505859
RoundRobin,5,200,uniform,1745.0,10120.0,0.0
Sequential,5,200,uniform,99.0,495.0,0.0
Markakis&Psomas,5,200,uniform,1735.0,14715.0,0.00547337532043457
RoundRobin,5,200,uniform,1577.0,9878.0,0.006010293960571289
Sequential,5,200,uniform,98.0,493.0,0.0
Markakis&Psomas,5,200,uniform,1895.0,14870.0,0.010977983474731445
RoundRobin,5,200,uniform,1861.0,10052.0,0.0
Sequential,5,200,uniform,99.0,495.0,0.0
Markakis&Psomas,5,200,uniform,1960.0,14335.0,0.016628026962280273
RoundRobin,5,200,uniform,1988.0,10887.0,0.0
Sequential,5,200,uniform,99.0,495.0,0.0
Markakis&Psomas,5,200,uniform,1959.0,14088.0,0.01431417465209961
RoundRobin,5,200,uniform,1833.0,9745.0,0.0032625198364257812
Sequential,5,200,uniform,98.0,494.0,0.0
Markakis&Psomas,5,200,normal,1948.0,13162.0,0.015779972076416016
RoundRobin,5,200,normal,1954.0,10212.0,0.0
Sequential,5,200,normal,99.0,543.0,0.0
Markakis&Psomas,5,200,normal,1919.0,12876.0,0.01585078239440918
RoundRobin,5,200,normal,1728.0,9753.0,0.0
Sequential,5,200,normal,89.0,520.0,0.0
Markakis&Psomas,5,200,normal,1990.0,13297.0,0.016617536544799805
RoundRobin,5,200,normal,1890.0,9935.0,0.0
Sequential,5,200,normal,104.0,554.0,0.0
Markakis&Psomas,5,200,normal,1899.0,13588.0,0.011373281478881836
RoundRobin,5,200,normal,1979.0,10385.0,0.0
Sequential,5,200,normal,95.0,520.0,0.0
Markakis&Psomas,5,200,normal,1964.0,13626.0,0.014831066131591797
RoundRobin,5,200,normal,1924.0,9922.0,0.0015017986297607422
Sequential,5,200,normal,97.0,534.0,0.0
Markakis&Psomas,5,200,exponential,1110.0,10698.0,0.00970602035522461
RoundRobin,5,200,exponential,921.0,5931.0,0.0
Sequential,5,200,exponential,111.0,896.0,0.0
Markakis&Psomas,5,200,exponential,943.0,10763.0,0.011548757553100586
RoundRobin,5,200,exponential,832.0,5603.0,0.004381418228149414
Sequential,5,200,exponential,160.0,905.0,0.0009663105010986328
Markakis&Psomas,5,200,exponential,1243.0,10724.0,0.00937342643737793
RoundRobin,5,200,exponential,1043.0,6465.0,0.0017130374908447266
Sequential,5,200,exponential,122.0,878.0,0.0
Markakis&Psomas,5,200,exponential,1147.0,10071.0,0.010027647018432617
RoundRobin,5,200,exponential,1001.0,5553.0,0.0
Sequential,5,200,exponential,119.0,855.0,0.0
Markakis&Psomas,5,200,exponential,1025.0,10635.0,0.0098876953125
RoundRobin,5,200,exponential,1003.0,5855.0,0.0
Sequential,5,200,exponential,130.0,781.0,0.0
Markakis&Psomas,5,500,uniform,5010.0,37305.0,0.013088226318359375
RoundRobin,5,500,uniform,4462.0,25924.0,0.0
Sequential,5,500,uniform,99.0,495.0,0.0
Markakis&Psomas,5,500,uniform,4842.0,37218.0,0.014330863952636719
RoundRobin,5,500,uniform,4611.0,24952.0,0.0
Sequential,5,500,uniform,99.0,495.0,0.0
Markakis&Psomas,5,500,uniform,4896.0,36702.0,0.015600919723510742
RoundRobin,5,500,uniform,4751.0,24213.0,0.0
Sequential,5,500,uniform,99.0,495.0,0.0
Markakis&Psomas,5,500,uniform,4794.0,36548.0,0.01354527473449707
RoundRobin,5,500,uniform,4500.0,24165.0,0.0
Sequential,5,500,uniform,99.0,495.0,0.0042896270751953125
Markakis&Psomas,5,500,uniform,4847.0,37161.0,0.01111912727355957
RoundRobin,5,500,uniform,4891.0,25612.0,0.0006194114685058594
Sequential,5,500,uniform,99.0,495.0,0.0
Markakis&Psomas,5,500,normal,4813.0,32796.0,0.01730513572692871
RoundRobin,5,500,normal,4678.0,24448.0,0.0
Sequential,5,500,normal,99.0,537.0,0.0
Markakis&Psomas,5,500,normal,4948.0,33316.0,0.015865564346313477
RoundRobin,5,500,normal,4809.0,25249.0,0.0
Sequential,5,500,normal,108.0,585.0,0.0
Markakis&Psomas,5,500,normal,4894.0,33314.0,0.012147903442382812
RoundRobin,5,500,normal,4801.0,24595.0,0.004509925842285156
Sequential,5,500,normal,104.0,547.0,0.0
Markakis&Psomas,5,500,normal,4853.0,33081.0,0.01252889633178711
RoundRobin,5,500,normal,4745.0,24446.0,0.004003763198852539
Sequential,5,500,normal,98.0,538.0,0.0020945072174072266
Markakis&Psomas,5,500,normal,4825.0,33565.0,0.01710653305053711
RoundRobin,5,500,normal,4847.0,24767.0,0.0010066032409667969
Sequential,5,500,normal,111.0,603.0,0.0
Markakis&Psomas,5,500,exponential,2662.0,25760.0,0.11134505271911621
RoundRobin,5,500,exponential,2651.0,14823.0,0.00487065315246582
Sequential,5,500,exponential,170.0,1121.0,0.0
Markakis&Psomas,5,500,exponential,3008.0,25246.0,0.016701221466064453
RoundRobin,5,500,exponential,2814.0,14574.0,0.0
Sequential,5,500,exponential,137.0,887.0,0.0
Markakis&Psomas,5,500,exponential,2502.0,25383.0,0.01654815673828125
RoundRobin,5,500,exponential,2533.0,14695.0,0.0017442703247070312
Sequential,5,500,exponential,151.0,1023.0,0.0012364387512207031
Markakis&Psomas,5,500,exponential,2919.0,25349.0,0.016363143920898438
RoundRobin,5,500,exponential,2390.0,13713.0,0.0
Sequential,5,500,exponential,169.0,958.0,0.0
Markakis&Psomas,5,500,exponential,2797.0,25845.0,0.015651702880859375
RoundRobin,5,500,exponential,2865.0,15205.0,0.0034942626953125
Sequential,5,500,exponential,181.0,1162.0,0.0
Markakis&Psomas,5,1000,uniform,9663.0,72562.0,0.02785468101501465
RoundRobin,5,1000,uniform,9904.0,51759.0,0.0029697418212890625
Sequential,5,1000,uniform,99.0,495.0,0.0
Markakis&Psomas,5,1000,uniform,9698.0,72419.0,0.023741722106933594
RoundRobin,5,1000,uniform,9690.0,49565.0,0.004571437835693359
Sequential,5,1000,uniform,99.0,495.0,0.0
Markakis&Psomas,5,1000,uniform,9914.0,72533.0,0.024924755096435547
RoundRobin,5,1000,uniform,9666.0,49851.0,0.006053924560546875
Sequential,5,1000,uniform,99.0,495.0,0.0033273696899414062
Markakis&Psomas,5,1000,uniform,9916.0,72980.0,0.03236818313598633
RoundRobin,5,1000,uniform,9854.0,50749.0,0.0003898143768310547
Sequential,5,1000,uniform,99.0,495.0,0.003229379653930664
Markakis&Psomas,5,1000,uniform,9661.0,71476.0,0.023654937744140625
RoundRobin,5,1000,uniform,9672.0,49922.0,0.003304719924926758
Sequential,5,1000,uniform,99.0,495.0,0.0
Markakis&Psomas,5,1000,normal,9909.0,66409.0,0.02793431282043457
RoundRobin,5,1000,normal,9605.0,49655.0,0.003270864486694336
Sequential,5,1000,normal,108.0,575.0,0.0
Markakis&Psomas,5,1000,normal,9733.0,66549.0,0.03222346305847168
RoundRobin,5,1000,normal,9765.0,49684.0,0.0
