num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,0,91.01465052092666,75.58441558441558,19.61325966850829,1.6565634869489474,0,0.0,85,87,95,0.15145180001854897
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,1,90.46266823624113,72.77777777777777,13.63636363636364,1.5098292614546187,0,0.0,83,84,91,0.12247719999868423
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,2,90.66139355620881,74.71264367816092,15.34772182254197,1.1566266260879317,0,0.0,85,86,95,0.11083059996599331
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,3,90.54056073413525,73.48066298342542,23.180592991913755,1.534518839391132,0,0.0,88,88,93,0.11187349999090657
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",utilitarian_matching,4,90.90706955039724,77.92553191489363,17.72486772486772,1.2599697463498045,0,0.0,86,86,93,0.12448859994765371
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,90.69800944892519,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.21373030001996085
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,90.05898169298018,75.75057736720554,7.6530612244897895,0.28109584936391385,0,0.0,98,100,100,0.24478540004929528
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.24592381006821384,0,0.0,100,100,100,0.21043550001922995
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.27102276919757345,0,0.0,100,100,100,0.2036725000361912
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.24913259997265413
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,90.69800944892519,73.91304347826086,4.926108374384242,0.2530781252975517,0,0.0,100,100,100,0.21890109998639673
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,90.05898169298018,75.75057736720554,7.6530612244897895,0.28109584936391385,0,0.0,98,100,100,0.2504060000064783
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,90.31369025023268,76.63755458515283,4.092071611253203,0.24592381006821384,0,0.0,100,100,100,0.22455990000162274
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,90.17477726567944,76.06837606837607,6.43564356435644,0.27102276919757345,0,0.0,100,100,100,0.21437959995819256
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,90.52673942284926,78.47222222222221,11.420612813370468,0.5994824364690353,0,0.0,100,100,100,0.25300419999985024
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,0,83.70219236785286,53.08056872037915,42.350332594235034,10.671615947615921,0,0.0,45,48,63,0.027503599994815886
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,1,83.90355055874035,52.23880597014925,40.79601990049752,10.660994549987068,0,0.0,48,51,66,0.025896100036334246
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,2,82.53271441408542,55.1578947368421,39.05882352941177,11.374449832178065,0,0.0,41,43,67,0.02654300001449883
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,3,83.01249913276799,53.81165919282511,36.986301369863014,10.92597104166576,0,0.0,43,49,58,0.025314099970273674
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",serial_dictatorship,4,83.80252722037038,47.18875502008032,47.79116465863454,10.533491041455783,0,0.0,44,47,68,0.025920199987012893
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,0,89.15649266866657,70.28824833702882,13.525498891352555,0.7818296366060019,0,0.0,100,100,100,0.026159700006246567
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,1,88.88303105505892,71.14427860696517,11.18421052631578,1.063637250252507,0,0.0,97,100,100,0.02718129998538643
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,2,89.30765437914384,75.52941176470588,13.17647058823529,0.6264500383101366,0,0.0,100,100,100,0.025538699992466718
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,3,88.53788558078662,72.16699801192843,8.401084010840108,0.7485581122268526,0,0.0,100,100,100,0.027066599985118955
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",round_robin,4,89.04735769152556,68.07228915662651,8.941176470588218,0.9126768724197817,0,0.0,100,100,100,0.026425499992910773
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,0,89.26931761185811,72.5609756097561,12.732095490716176,0.7117007321471724,0,0.0,100,100,100,0.02718149998690933
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,1,88.20839952001323,71.08655616942909,8.62944162436547,0.4132754336966214,0,0.0,97,100,100,0.025869600009173155
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,2,89.13725379057459,71.96467991169978,10.070257611241217,0.6289193509417292,0,0.0,100,100,100,0.028629800013732165
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,3,88.8797385823348,71.17117117117117,13.8888888888889,0.7201334070884772,0,0.0,100,100,100,0.027406100009102374
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",bidirectional_round_robin,4,88.84342436660043,71.54989384288747,17.15686274509804,1.1767772143741868,0,0.0,100,100,100,0.02743489999556914
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,0,90.54216632239007,73.00884955752213,16.577540106951872,1.1590061364473878,0,0.0,88,92,98,3.7394060000078753
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,1,89.86473318137267,73.67021276595744,11.403508771929822,0.6740777679349628,0,0.0,90,93,97,3.787479799997527
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",almost_egalitarian_without_donation,2,90.20987374872726,75.69444444444444,8.101851851851848,0.3674809345952811,0,0.0,90,95,99,3.9320842000306584
