input_range,equal_capacities,equal_valuations,binary_valuations,num_of_items,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,current_algorithm_bundle_min_value,current_algorithm_bundle_sum,runtime
input_ranges_algorithm_1,True,True,True,1,1,1,0,1,per_category_round_robin,1.0,1.0,0.0020479570084717
input_ranges_algorithm_1,True,True,True,1,1,1,0,1,per_category_round_robin_optimized,1.0,1.0,0.0007422170019708
input_ranges_algorithm_1,True,True,True,1,1,1,0,1,egalitarian_algorithm,1.0,1.0,0.0123854909907095
input_ranges_algorithm_1,True,True,True,1,1,1,0,1,utilitarian_algorithm,1.0,1.0,0.0038597219972871
input_ranges_algorithm_1,True,True,True,1,1,1,0,1,iterated_maximum_matching,1.0,1.0,0.0013563389948103
input_ranges_algorithm_1,True,True,True,1,1,1,0,16,per_category_round_robin,0.0,0.0,0.0022272510104812
input_ranges_algorithm_1,True,True,True,1,1,1,0,16,per_category_round_robin_optimized,0.0,0.0,0.0032420879870187
input_ranges_algorithm_1,True,True,True,1,1,1,0,16,egalitarian_algorithm,0.0,0.0,0.0442452400166075
input_ranges_algorithm_1,True,True,True,1,1,1,0,16,utilitarian_algorithm,0.0,0.0,0.0023824119998607
input_ranges_algorithm_1,True,True,True,1,1,1,0,16,iterated_maximum_matching,0.0,0.0,0.0020913480257149
input_ranges_algorithm_1,True,True,True,1,1,1,0,31,per_category_round_robin,0.0,0.0,0.0088123049936257
input_ranges_algorithm_1,True,True,True,1,1,1,0,31,per_category_round_robin_optimized,0.0,0.0,0.0085726469988003
input_ranges_algorithm_1,True,True,True,1,1,1,0,31,egalitarian_algorithm,0.0,0.0,0.0766803430160507
input_ranges_algorithm_1,True,True,True,1,1,1,0,31,utilitarian_algorithm,0.0,0.0,0.0048626160132698
input_ranges_algorithm_1,True,True,True,1,1,1,0,31,iterated_maximum_matching,0.0,0.0,0.00441348698223
input_ranges_algorithm_1,True,True,True,1,1,1,0,46,per_category_round_robin,0.0,0.0,0.017045718996087
input_ranges_algorithm_1,True,True,True,1,1,1,0,46,per_category_round_robin_optimized,0.0,0.0,0.0179421140055637
input_ranges_algorithm_1,True,True,True,1,1,1,0,46,egalitarian_algorithm,0.0,0.0,0.0965411209908779
input_ranges_algorithm_1,True,True,True,1,1,1,0,46,utilitarian_algorithm,0.0,0.0,0.0052555290167219
input_ranges_algorithm_1,True,True,True,1,1,1,0,46,iterated_maximum_matching,0.0,0.0,0.004908561008051
input_ranges_algorithm_1,True,True,True,1,1,1,0,61,per_category_round_robin,0.0,1.0,0.0262425730179529
input_ranges_algorithm_1,True,True,True,1,1,1,0,61,per_category_round_robin_optimized,0.0,1.0,0.0214250720164272
input_ranges_algorithm_1,True,True,True,1,1,1,0,61,egalitarian_algorithm,0.0163934426229508,1.0000000000000009,0.1047825940186157
input_ranges_algorithm_1,True,True,True,1,1,1,0,61,utilitarian_algorithm,0.0,1.0,0.0043938790040556
input_ranges_algorithm_1,True,True,True,1,1,1,0,61,iterated_maximum_matching,0.0,1.0,0.0060650219966191
input_ranges_algorithm_1,True,True,True,1,1,1,0,76,per_category_round_robin,0.0,1.0,0.0325910859974101
input_ranges_algorithm_1,True,True,True,1,1,1,0,76,per_category_round_robin_optimized,0.0,1.0,0.0303284160036128
input_ranges_algorithm_1,True,True,True,1,1,1,0,76,egalitarian_algorithm,0.0131578947368421,1.000000000000001,0.1901236170087941
input_ranges_algorithm_1,True,True,True,1,1,1,0,76,utilitarian_algorithm,0.0,1.0,0.0089172369916923
input_ranges_algorithm_1,True,True,True,1,1,1,0,76,iterated_maximum_matching,0.0,1.0,0.0104780709953047
input_ranges_algorithm_1,True,True,True,1,1,1,0,91,per_category_round_robin,0.0,1.0,0.0828817389847245
input_ranges_algorithm_1,True,True,True,1,1,1,0,91,per_category_round_robin_optimized,0.0,1.0,0.0842426269955467
input_ranges_algorithm_1,True,True,True,1,1,1,0,91,egalitarian_algorithm,0.0109890109890109,0.9999999999999984,0.2431995380029548
input_ranges_algorithm_1,True,True,True,1,1,1,0,91,utilitarian_algorithm,0.0,1.0,0.0078235370165202
input_ranges_algorithm_1,True,True,True,1,1,1,0,91,iterated_maximum_matching,0.0,1.0,0.0072034600016195
input_ranges_algorithm_1,True,True,True,1,1,1,0,106,per_category_round_robin,0.0,0.0,0.071347406017594
input_ranges_algorithm_1,True,True,True,1,1,1,0,106,per_category_round_robin_optimized,0.0,0.0,0.0626647869939915
input_ranges_algorithm_1,True,True,True,1,1,1,0,106,egalitarian_algorithm,0.0,0.0,0.2276673970045521
input_ranges_algorithm_1,True,True,True,1,1,1,0,106,utilitarian_algorithm,0.0,0.0,0.0073061820003204
input_ranges_algorithm_1,True,True,True,1,1,1,0,106,iterated_maximum_matching,0.0,0.0,0.0074787740013562
input_ranges_algorithm_1,True,True,True,1,16,1,0,1,per_category_round_robin,1.0,1.0,0.0012639019987545
input_ranges_algorithm_1,True,True,True,1,16,1,0,1,per_category_round_robin_optimized,1.0,1.0,0.001764185988577
input_ranges_algorithm_1,True,True,True,1,16,1,0,1,egalitarian_algorithm,1.0,1.0,0.0090078960056416
input_ranges_algorithm_1,True,True,True,1,16,1,0,1,utilitarian_algorithm,1.0,1.0,0.0008105140004772
input_ranges_algorithm_1,True,True,True,1,16,1,0,1,iterated_maximum_matching,1.0,1.0,0.0006965420034248
input_ranges_algorithm_1,True,True,True,1,16,1,0,16,per_category_round_robin,0.0,1.0,0.1081188840034883
input_ranges_algorithm_1,True,True,True,1,16,1,0,16,per_category_round_robin_optimized,0.0,1.0,0.1107811460096854
input_ranges_algorithm_1,True,True,True,1,16,1,0,16,egalitarian_algorithm,0.0625,1.0,0.0349294790066778
