num_of_agents,num_of_items,value_noise_ratio,algorithm,random_seed,utilitarian_value,egalitarian_value,runtime
2,2,0,high_multiplicity_fair_allocation,0,0.0,0,0.007691087001148844
2,2,0,high_multiplicity_fair_allocation,1,0.0,0,0.005297905998304486
2,2,0,solve,0,0.0,0,0.21071082599883084
2,2,0,solve,1,0.0,0,0.001677986998402048
2,2,0,improved_high_multiplicity_fair_allocation,0,0.0,0,0.005823135001264745
2,2,0,improved_high_multiplicity_fair_allocation,1,0.0,0,0.005551493999519153
2,2,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.0064268030000675935
2,2,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.005921769999986282
2,2,0.2,high_multiplicity_fair_allocation,0,0.0,0,0.005713839000236476
2,2,0.2,high_multiplicity_fair_allocation,1,0.0,0,0.005579282998951385
2,2,0.2,solve,0,0.0,0,0.001998570001887856
2,2,0.2,solve,1,0.0,0,0.001629518999834545
2,2,0.2,improved_high_multiplicity_fair_allocation,0,0.0,0,0.006162509998830501
2,2,0.2,improved_high_multiplicity_fair_allocation,1,0.0,0,0.005712191999919014
2,2,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.0058494439981586765
2,2,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.00579118400128209
2,2,0.5,high_multiplicity_fair_allocation,0,170.5,160,0.010476334999111714
2,2,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.004384443000162719
2,2,0.5,solve,0,170.5,160,0.006245871998544317
2,2,0.5,solve,1,0.0,0,0.0013910689995100256
2,2,0.5,improved_high_multiplicity_fair_allocation,0,170.5,160,0.011075718997744843
2,2,0.5,improved_high_multiplicity_fair_allocation,1,0.0,0,0.005005915998481214
2,2,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.005322098997567082
2,2,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.00541201299711247
2,2,0.8,high_multiplicity_fair_allocation,0,172.0,160,0.009996303997468203
2,2,0.8,high_multiplicity_fair_allocation,1,0.0,0,0.00493127200024901
2,2,0.8,solve,0,172.0,160,0.003015384001628263
2,2,0.8,solve,1,0.0,0,0.001767247998941457
2,2,0.8,improved_high_multiplicity_fair_allocation,0,172.0,160,0.010940462998405565
2,2,0.8,improved_high_multiplicity_fair_allocation,1,0.0,0,0.00506784999743104
2,2,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.0054288280007313006
2,2,0.8,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.005872844001714839
2,2,1,high_multiplicity_fair_allocation,0,173.5,160,0.010706836997997016
2,2,1,high_multiplicity_fair_allocation,1,0.0,0,0.005312983998010168
2,2,1,solve,0,173.5,160,0.003004024001711514
2,2,1,solve,1,0.0,0,0.0016437319973192643
2,2,1,improved_high_multiplicity_fair_allocation,0,173.5,160,0.012353923997579841
2,2,1,improved_high_multiplicity_fair_allocation,1,0.0,0,0.005521521998161916
2,2,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.0058558830023685005
2,2,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.04127209500074969
2,3,0,high_multiplicity_fair_allocation,0,235.3426966292135,219.0,0.011969322000368265
2,3,0,high_multiplicity_fair_allocation,1,0.0,0,0.005587888997979462
2,3,0,solve,0,235.3426966292135,219.0,0.0034015080018434674
2,3,0,solve,1,0.0,0,0.0014762179998797365
2,3,0,improved_high_multiplicity_fair_allocation,0,235.3426966292135,219.0,0.014646358002210036
2,3,0,improved_high_multiplicity_fair_allocation,1,0.0,0,0.0064647809995221905
2,3,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.006588026997633278
2,3,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.006683856001473032
2,3,0.2,high_multiplicity_fair_allocation,0,0.0,0,0.06248083399987081
2,3,0.2,high_multiplicity_fair_allocation,1,0.0,0,0.006342030999803683
2,3,0.2,solve,0,239.29592959295928,229.70297029702968,0.0036307880000094883
2,3,0.2,solve,1,0.0,0,0.0014763789986318443
2,3,0.2,improved_high_multiplicity_fair_allocation,0,0.0,0,0.05865768899820978
2,3,0.2,improved_high_multiplicity_fair_allocation,1,0.0,0,0.006596457998966798
2,3,0.2,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.006391213999449974
2,3,0.2,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.007481145999918226
2,3,0.5,high_multiplicity_fair_allocation,0,255.09890109890108,208.0,0.013424278997263173
2,3,0.5,high_multiplicity_fair_allocation,1,0.0,0,0.0065923960028158035
2,3,0.5,solve,0,243.87912087912088,241.75824175824175,0.00333876200238592
2,3,0.5,solve,1,0.0,0,0.001499915997555945
2,3,0.5,improved_high_multiplicity_fair_allocation,0,255.09890109890108,208.0,0.014015286000358174
2,3,0.5,improved_high_multiplicity_fair_allocation,1,0.0,0,0.006627354003285291
2,3,0.5,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.006981456001085462
2,3,0.5,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.006731684999977006
2,3,0.8,high_multiplicity_fair_allocation,0,257.30434782608694,206.99999999999997,0.03672870499940473
2,3,0.8,high_multiplicity_fair_allocation,1,0.0,0,0.006037334998836741
2,3,0.8,solve,0,251.06521739130434,239.1304347826087,0.003775536999455653
2,3,0.8,solve,1,0.0,0,0.0015959209995344281
2,3,0.8,improved_high_multiplicity_fair_allocation,0,257.30434782608694,206.99999999999997,0.03725400199982687
2,3,0.8,improved_high_multiplicity_fair_allocation,1,0.0,0,0.006349739000143018
2,3,0.8,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007383379997918382
2,3,0.8,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.0066970299994864035
2,3,1,high_multiplicity_fair_allocation,0,270.2597679122751,203.96039603960395,0.013018372999795247
2,3,1,high_multiplicity_fair_allocation,1,0.0,0,0.006858237997221295
2,3,1,solve,0,256.3983817736612,236.55913978494624,0.0035062239985563792
2,3,1,solve,1,0.0,0,0.002318327999091707
2,3,1,improved_high_multiplicity_fair_allocation,0,270.2597679122751,203.96039603960395,0.014230966997274663
2,3,1,improved_high_multiplicity_fair_allocation,1,0.0,0,0.006258214998524636
2,3,1,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007024829999863869
2,3,1,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.006858174998342292
2,5,0,high_multiplicity_fair_allocation,0,354.97304582210245,304.2857142857143,0.49246498299908126
2,5,0,high_multiplicity_fair_allocation,1,229.5,225.0,0.09529826099969796
2,5,0,solve,0,352.9380053908356,322.8571428571429,0.005625685000268277
2,5,0,solve,1,229.5,229.0,0.008867997999914223
2,5,0,improved_high_multiplicity_fair_allocation,0,354.97304582210245,304.2857142857143,0.49925604999953066
2,5,0,improved_high_multiplicity_fair_allocation,1,229.5,225.0,0.13018019899755018
2,5,0,second_improved_high_multiplicity_fair_allocation,0,0.0,0,0.007126504999177996
2,5,0,second_improved_high_multiplicity_fair_allocation,1,0.0,0,0.007704469000600511
2,5,0.2,high_multiplicity_fair_allocation,0,372.5891861761427,297.1014492753623,0.09150468099687714
2,5,0.2,high_multiplicity_fair_allocation,1,237.5,222.00000000000003,0.09418244299740763
2,5,0.2,solve,0,363.79598662207354,339.1304347826087,0.0070275409998430405
2,5,0.2,solve,1,236.5,225.99999999999997,0.008243784002843313
