max_total_agent_capacity,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
1000,iterated_maximum_matching_unadjusted,0,no_solver,93.6971322,66.6,64.83253589,3.932272725,4,0.625641026,195,195,195,0.3323339
1000,iterated_maximum_matching_unadjusted,1,no_solver,93.7637264,50,64.83253589,4.580196432,4,0.601010101,198,198,198,0.4009445
1000,iterated_maximum_matching_unadjusted,2,no_solver,92.86367067,50,64.83253589,4.198116427,4,0.742268041,194,194,194,0.3521567
1000,iterated_maximum_matching_unadjusted,3,no_solver,94.57339355,66.6,64.83253589,1.274675504,4,0.476439791,191,191,191,0.4738206
1000,iterated_maximum_matching_unadjusted,4,no_solver,92.84580286,50,64.83253589,4.890182829,4,0.527918782,197,197,197,0.418153
1000,iterated_maximum_matching_unadjusted,5,no_solver,93.21411322,66.6,64.83253589,4.451385465,4,0.369230769,195,195,195,0.4997823
1000,iterated_maximum_matching_unadjusted,6,no_solver,94.27600559,66.6,66.26794258,4.069569862,4,0.507614213,197,197,197,0.4546048
1000,iterated_maximum_matching_unadjusted,7,no_solver,93.9151424,50,64.83253589,3.412495876,4,0.425641026,195,195,195,0.5042842
1000,iterated_maximum_matching_unadjusted,8,no_solver,93.87721422,66.6,64.83253589,2.677392224,4,0.487046632,193,193,193,0.4162104
1000,iterated_maximum_matching_unadjusted,9,no_solver,93.60698941,66.6,64.83253589,2.339916139,4,0.577319588,194,194,194,0.3553999
1000,iterated_maximum_matching_adjusted,0,no_solver,93.6971322,66.6,64.83253589,3.932272725,4,0.625641026,195,195,195,0.4218252
1000,iterated_maximum_matching_adjusted,1,no_solver,93.7637264,50,64.83253589,4.580196432,4,0.601010101,198,198,198,0.4005008
1000,iterated_maximum_matching_adjusted,2,no_solver,92.86367067,50,64.83253589,4.198116427,4,0.742268041,194,194,194,0.3618981
1000,iterated_maximum_matching_adjusted,3,no_solver,94.57339355,66.6,64.83253589,1.274675504,4,0.476439791,191,191,191,0.4126518
1000,iterated_maximum_matching_adjusted,4,no_solver,92.84580286,50,64.83253589,4.890182829,4,0.527918782,197,197,197,0.4619471
1000,iterated_maximum_matching_adjusted,5,no_solver,93.21411322,66.6,64.83253589,4.451385465,4,0.369230769,195,195,195,0.4307638
1000,iterated_maximum_matching_adjusted,6,no_solver,94.27600559,66.6,66.26794258,4.069569862,4,0.507614213,197,197,197,0.4630558
1000,iterated_maximum_matching_adjusted,7,no_solver,93.9151424,50,64.83253589,3.412495876,4,0.425641026,195,195,195,0.3627194
1000,iterated_maximum_matching_adjusted,8,no_solver,93.87721422,66.6,64.83253589,2.677392224,4,0.487046632,193,193,193,0.4603404
1000,iterated_maximum_matching_adjusted,9,no_solver,93.60698941,66.6,64.83253589,2.339916139,4,0.577319588,194,194,194,0.3919809
1000,TTC_function,0,no_solver,93.72812595,66.6,64.83253589,3.359861883,4,0.625641026,195,195,195,0.1051509
1000,TTC_function,1,no_solver,93.84571187,50,64.83253589,3.753016959,4,0.601010101,198,198,198,0.1370092
1000,TTC_function,2,no_solver,92.8662813,50,64.83253589,4.454302556,4,0.742268041,194,194,194,0.1416432
1000,TTC_function,3,no_solver,94.30112638,66.6,64.83253589,1.44594255,4,0.476439791,191,191,191,0.1436148
1000,TTC_function,4,no_solver,92.8031723,50,64.83253589,4.772927854,4,0.527918782,197,197,197,0.122964
1000,TTC_function,5,no_solver,92.73492346,66.6,64.83253589,2.459211202,4,0.369230769,195,195,195,0.1242545
1000,TTC_function,6,no_solver,94.02050123,66.6,64.83253589,4.141343694,4,0.507614213,197,197,197,0.12616
1000,TTC_function,7,no_solver,93.68809237,50,64.83253589,4.178007445,4,0.425641026,195,195,195,0.1387182
1000,TTC_function,8,no_solver,93.54827309,66.6,64.83253589,2.989278804,4,0.487046632,193,193,193,0.1274864
1000,TTC_function,9,no_solver,92.96697489,66.6,64.83253589,3.37997278,4,0.577319588,194,194,194,0.1204941
1000,SP_function,0,no_solver,93.66764049,66.6,66.26794258,4.179857572,4,0.625641026,195,195,195,0.1256791
1000,SP_function,1,no_solver,93.53641591,50,64.83253589,4.688096661,4,0.601010101,198,198,198,0.143602
1000,SP_function,2,no_solver,92.97071466,50,66.26794258,4.428812513,4,0.742268041,194,194,194,0.1243183
1000,SP_function,3,no_solver,94.10242964,66.6,64.83253589,1.16998127,4,0.476439791,191,191,191,0.1320446
1000,SP_function,4,no_solver,92.95180798,50,66.26794258,5.27623568,4,0.527918782,197,197,197,0.1283697
1000,SP_function,5,no_solver,92.66564582,66.6,66.26794258,3.236420944,4,0.369230769,195,195,195,0.1497066
1000,SP_function,6,no_solver,94.24587083,66.6,66.26794258,3.956846353,4,0.507614213,197,197,197,0.1491682
1000,SP_function,7,no_solver,93.46275501,50,64.83253589,5.034561456,4,0.425641026,195,195,195,0.20025
1000,SP_function,8,no_solver,93.24239798,66.6,64.83253589,4.041074485,4,0.487046632,193,193,193,0.1221868
1000,SP_function,9,no_solver,92.8170411,66.6,64.83253589,3.489176616,4,0.577319588,194,194,194,0.1397036
1115,iterated_maximum_matching_unadjusted,0,no_solver,91.35433971,50,66.26794258,3.992780876,4,0.678899083,218,218,218,0.6530228
1115,iterated_maximum_matching_unadjusted,1,no_solver,91.00305817,50,64.83253589,5.598415428,4,0.659090909,220,220,220,0.5111962
1115,iterated_maximum_matching_unadjusted,2,no_solver,91.2760424,50,64.83253589,3.872330613,4,0.869158879,214,214,214,0.487746
1115,iterated_maximum_matching_unadjusted,3,no_solver,92.4069664,50,64.83253589,3.089976783,4,0.506976744,215,215,215,0.6192267
1115,iterated_maximum_matching_unadjusted,4,no_solver,90.71056221,50,66.26794258,6.095184696,4,0.572072072,222,222,222,0.774892
1115,iterated_maximum_matching_unadjusted,5,no_solver,90.8265301,50,64.83253589,6.109135358,4,0.442396313,217,217,217,0.7369352
1115,iterated_maximum_matching_unadjusted,6,no_solver,92.38899834,50,66.26794258,3.939681136,4,0.607305936,219,219,219,0.8768213
1115,iterated_maximum_matching_unadjusted,7,no_solver,91.24543833,50,64.83253589,5.107311815,4,0.444954128,218,218,218,0.7635792
1115,iterated_maximum_matching_unadjusted,8,no_solver,91.40357617,50,64.83253589,5.012052702,4,0.502347418,213,213,213,0.6815433
1115,iterated_maximum_matching_unadjusted,9,no_solver,91.0098968,50,64.83253589,3.94630451,4,0.646511628,215,215,215,0.7612588
1115,iterated_maximum_matching_adjusted,0,no_solver,91.35433971,50,66.26794258,3.992780876,4,0.678899083,218,218,218,0.6450151
1115,iterated_maximum_matching_adjusted,1,no_solver,91.00305817,50,64.83253589,5.598415428,4,0.659090909,220,220,220,0.6317573
1115,iterated_maximum_matching_adjusted,2,no_solver,91.2760424,50,64.83253589,3.872330613,4,0.869158879,214,214,214,0.6270288
1115,iterated_maximum_matching_adjusted,3,no_solver,92.4069664,50,64.83253589,3.089976783,4,0.506976744,215,215,215,0.7031544
1115,iterated_maximum_matching_adjusted,4,no_solver,90.71056221,50,66.26794258,6.095184696,4,0.572072072,222,222,222,0.7908555
1115,iterated_maximum_matching_adjusted,5,no_solver,90.8265301,50,64.83253589,6.109135358,4,0.442396313,217,217,217,0.8752447
1115,iterated_maximum_matching_adjusted,6,no_solver,92.38899834,50,66.26794258,3.939681136,4,0.607305936,219,219,219,0.8598262
1115,iterated_maximum_matching_adjusted,7,no_solver,91.24543833,50,64.83253589,5.107311815,4,0.444954128,218,218,218,0.8779882
1115,iterated_maximum_matching_adjusted,8,no_solver,91.40357617,50,64.83253589,5.012052702,4,0.502347418,213,213,213,0.9831288
1115,iterated_maximum_matching_adjusted,9,no_solver,91.0098968,50,64.83253589,3.94630451,4,0.646511628,215,215,215,0.7571275
1115,TTC_function,0,no_solver,92.11091357,66.6,64.83253589,3.733940038,4,0.637614679,218,218,218,0.1363021
1115,TTC_function,1,no_solver,91.56165383,50,64.83253589,4.383123182,4,0.627272727,220,220,220,0.1807913
1115,TTC_function,2,no_solver,91.47421623,50,64.83253589,5.169557399,4,0.831775701,214,214,214,0.2209554
1115,TTC_function,3,no_solver,92.89598131,66.6,64.83253589,2.306992447,4,0.497674419,215,215,215,0.1556843
1115,TTC_function,4,no_solver,91.25115926,50,64.83253589,5.362868545,4,0.513513514,222,222,222,0.187272
1115,TTC_function,5,no_solver,91.4982201,50,64.83253589,3.162335704,4,0.396313364,217,217,217,0.2310679
1115,TTC_function,6,no_solver,92.80057142,66.6,64.83253589,3.600519311,4,0.557077626,219,219,219,0.2317005
1115,TTC_function,7,no_solver,91.79402734,50,64.83253589,4.014917704,4,0.458715596,218,218,218,0.2170578
1115,TTC_function,8,no_solver,91.90863281,50,64.83253589,4.229303558,4,0.478873239,213,213,213,0.2395593
