num_of_agents,num_of_items,agent_capacity,supply_ratio,num_of_popular_items,mean_num_of_favorite_items,favorite_item_value_bounds,nonfavorite_item_value_bounds,algorithm,random_seed,solver,utilitarian_value,egalitarian_value,max_envy,mean_envy,max_deficit,mean_deficit,num_with_top_1,num_with_top_2,num_with_top_3,runtime
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,90.69800945,73.91304348,4.926108374,0.253078125,0,0.0,100,100,100,0.4398439
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,90.05898169,75.75057737,7.653061224,0.281095849,0,0.0,98,100,100,0.4519654
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,90.31369025,76.63755459,4.092071611,0.24592381,0,0.0,100,100,100,0.5014132
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,90.17477727,76.06837607,6.435643564,0.271022769,0,0.0,100,100,100,0.4572082
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,90.52673942,78.47222222,11.42061281,0.599482436,0,0.0,100,100,100,0.5178894
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,0,,90.69800945,73.91304348,4.926108374,0.253078125,0,0.0,100,100,100,0.4524124
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,1,,90.05898169,75.75057737,7.653061224,0.281095849,0,0.0,98,100,100,0.4323355
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,2,,90.31369025,76.63755459,4.092071611,0.24592381,0,0.0,100,100,100,0.4885359
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,3,,90.17477727,76.06837607,6.435643564,0.271022769,0,0.0,100,100,100,0.3997116
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",iterated_maximum_matching_adjusted,4,,90.52673942,78.47222222,11.42061281,0.599482436,0,0.0,100,100,100,0.4671903
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",TTC_function,0,,90.61977559,73.91304348,7.161803714,0.446671982,0,0.0,100,100,100,0.0626304
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",TTC_function,1,,89.96119302,76.1589404,6.37254902,0.326793529,0,0.0,98,100,100,0.0477115
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",TTC_function,2,,90.29166305,75.69444444,9.176470588,0.642579257,0,0.0,100,100,100,0.0602793
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",TTC_function,3,,90.02993738,71.17117117,7.432432432,0.482171635,0,0.0,100,100,100,0.0639105
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",TTC_function,4,,90.35192481,74.63054187,11.42061281,0.762336482,0,0.0,100,100,100,0.050415
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",SP_function,0,,90.37113003,75.73529412,11.11111111,0.619484017,0,0.0,100,100,100,0.0514689
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",SP_function,1,,88.98296784,71.08655617,6.106870229,0.308685974,0,0.0,98,100,100,0.0687633
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",SP_function,2,,89.93604697,71.96467991,12.23529412,0.731197361,0,0.0,100,100,100,0.0620004
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",SP_function,3,,89.87275008,71.17117117,7.432432432,0.363267533,0,0.0,100,100,100,0.0465499
100,25,5,1.1,6,2.6,"(50, 100)","(0, 50)",SP_function,4,,90.25432174,75.12315271,11.42061281,0.769004016,0,0.0,100,100,100,0.063803
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,0,,82.75544841,68.84875847,10.16548463,0.836150212,0,0.0,100,100,100,0.5065325
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,1,,82.06030563,64.02116402,7.972665148,0.973511077,0,0.0,100,100,100,0.4304133
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,2,,81.67980529,68.52678571,11.75059952,1.19281475,0,0.0,100,100,100,0.493706
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,3,,81.9824333,70.09345794,8.899297424,0.980362084,0,0.0,100,100,100,0.439815
100,25,5,1.1,6,3.85,"(50, 100)","(0, 50)",iterated_maximum_matching_unadjusted,4,,82.47235996,67.77251185,9.336609337,0.96471504,0,0.0,100,100,100,0.4423847
