equal_capacities,category_count,item_capacity_bounds,random_seed_num,num_of_agents,algorithm,allocation,runtime
True,1,1,0,10,per_category_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m4'}, 'Agent5': {'m3'}, 'Agent6': set(), 'Agent7': {'m6'}, 'Agent8': set(), 'Agent9': {'m5'}, 'Agent10': {'m2'}}",0.0019941689970437
True,1,1,0,10,capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m4'}, 'Agent5': {'m3'}, 'Agent6': set(), 'Agent7': {'m6'}, 'Agent8': set(), 'Agent9': {'m5'}, 'Agent10': {'m2'}}",0.0004919490020256
True,1,1,0,10,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m4'}, 'Agent5': {'m3'}, 'Agent6': set(), 'Agent7': {'m6'}, 'Agent8': set(), 'Agent9': {'m5'}, 'Agent10': {'m2'}}",0.0011275010001554
True,1,1,0,11,per_category_round_robin,"{'Agent1': {'m5'}, 'Agent2': {'m3'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m2'}, 'Agent6': {'m4'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m6'}}",0.0013437289999274
True,1,1,0,11,capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': {'m3'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m2'}, 'Agent6': {'m4'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m6'}}",0.0005185800000617
True,1,1,0,11,per_category_capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': {'m3'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m2'}, 'Agent6': {'m4'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m6'}}",0.001239462999365
True,1,1,0,12,per_category_round_robin,"{'Agent1': {'m1'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m6'}, 'Agent5': set(), 'Agent6': {'m5'}, 'Agent7': set(), 'Agent8': {'m2'}, 'Agent9': {'m4'}, 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m3'}}",0.0013844559980498
True,1,1,0,12,capped_round_robin,"{'Agent1': {'m1'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m6'}, 'Agent5': set(), 'Agent6': {'m5'}, 'Agent7': set(), 'Agent8': {'m2'}, 'Agent9': {'m4'}, 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m3'}}",0.0005112559992994
True,1,1,0,12,per_category_capped_round_robin,"{'Agent1': {'m1'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m6'}, 'Agent5': set(), 'Agent6': {'m5'}, 'Agent7': set(), 'Agent8': {'m2'}, 'Agent9': {'m4'}, 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m3'}}",0.0014103860012255
True,1,1,0,13,per_category_round_robin,"{'Agent1': set(), 'Agent2': {'m3'}, 'Agent3': {'m2'}, 'Agent4': set(), 'Agent5': set(), 'Agent6': {'m6'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': {'m4'}, 'Agent11': set(), 'Agent12': {'m5'}, 'Agent13': set()}",0.0015334580020862
True,1,1,0,13,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m3'}, 'Agent3': {'m2'}, 'Agent4': set(), 'Agent5': set(), 'Agent6': {'m6'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': {'m4'}, 'Agent11': set(), 'Agent12': {'m5'}, 'Agent13': set()}",0.0005413530016085
True,1,1,0,13,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': {'m3'}, 'Agent3': {'m2'}, 'Agent4': set(), 'Agent5': set(), 'Agent6': {'m6'}, 'Agent7': set(), 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': {'m4'}, 'Agent11': set(), 'Agent12': {'m5'}, 'Agent13': set()}",0.0014895450003677
True,1,1,0,14,per_category_round_robin,"{'Agent1': set(), 'Agent2': {'m6'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m4'}, 'Agent6': {'m3'}, 'Agent7': {'m2'}, 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m5'}, 'Agent13': set(), 'Agent14': set()}",0.0017001129999698
True,1,1,0,14,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m6'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m4'}, 'Agent6': {'m3'}, 'Agent7': {'m2'}, 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m5'}, 'Agent13': set(), 'Agent14': set()}",0.0005943830001342
True,1,1,0,14,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': {'m6'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m4'}, 'Agent6': {'m3'}, 'Agent7': {'m2'}, 'Agent8': {'m1'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m5'}, 'Agent13': set(), 'Agent14': set()}",0.0016839030031405
True,1,1,0,15,per_category_round_robin,"{'Agent1': set(), 'Agent2': {'m5'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': set(), 'Agent6': set(), 'Agent7': {'m3'}, 'Agent8': {'m4'}, 'Agent9': set(), 'Agent10': {'m6'}, 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}}",0.0018422909997752
True,1,1,0,15,capped_round_robin,"{'Agent1': set(), 'Agent2': {'m5'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': set(), 'Agent6': set(), 'Agent7': {'m3'}, 'Agent8': {'m4'}, 'Agent9': set(), 'Agent10': {'m6'}, 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}}",0.0006138899989309
True,1,1,0,15,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': {'m5'}, 'Agent3': set(), 'Agent4': set(), 'Agent5': set(), 'Agent6': set(), 'Agent7': {'m3'}, 'Agent8': {'m4'}, 'Agent9': set(), 'Agent10': {'m6'}, 'Agent11': {'m1'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}}",0.0018019859999185
True,1,1,0,16,per_category_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m6'}, 'Agent5': {'m4'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m3'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m5'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}, 'Agent16': set()}",0.0019781080009124
True,1,1,0,16,capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m6'}, 'Agent5': {'m4'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m3'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m5'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}, 'Agent16': set()}",0.0005954350017418
True,1,1,0,16,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m6'}, 'Agent5': {'m4'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': {'m3'}, 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m5'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': {'m2'}, 'Agent16': set()}",0.0019479719994706
True,1,1,0,17,per_category_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m2'}, 'Agent5': set(), 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m3'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': {'m6'}, 'Agent15': {'m4'}, 'Agent16': set(), 'Agent17': {'m5'}}",0.002206400000432
True,1,1,0,17,capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m2'}, 'Agent5': set(), 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m3'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': {'m6'}, 'Agent15': {'m4'}, 'Agent16': set(), 'Agent17': {'m5'}}",0.0006143210011941
True,1,1,0,17,per_category_capped_round_robin,"{'Agent1': set(), 'Agent2': set(), 'Agent3': {'m1'}, 'Agent4': {'m2'}, 'Agent5': set(), 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': {'m3'}, 'Agent12': set(), 'Agent13': set(), 'Agent14': {'m6'}, 'Agent15': {'m4'}, 'Agent16': set(), 'Agent17': {'m5'}}",0.0021364080021157
True,1,1,0,18,per_category_round_robin,"{'Agent1': {'m4'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m5'}, 'Agent5': {'m6'}, 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m2'}, 'Agent13': {'m1'}, 'Agent14': set(), 'Agent15': set(), 'Agent16': set(), 'Agent17': set(), 'Agent18': set()}",0.0023019399995973
True,1,1,0,18,capped_round_robin,"{'Agent1': {'m4'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m5'}, 'Agent5': {'m6'}, 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m2'}, 'Agent13': {'m1'}, 'Agent14': set(), 'Agent15': set(), 'Agent16': set(), 'Agent17': set(), 'Agent18': set()}",0.0006455199982156
True,1,1,0,18,per_category_capped_round_robin,"{'Agent1': {'m4'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': {'m5'}, 'Agent5': {'m6'}, 'Agent6': {'m3'}, 'Agent7': set(), 'Agent8': set(), 'Agent9': set(), 'Agent10': set(), 'Agent11': set(), 'Agent12': {'m2'}, 'Agent13': {'m1'}, 'Agent14': set(), 'Agent15': set(), 'Agent16': set(), 'Agent17': set(), 'Agent18': set()}",0.0023223789976327
True,1,1,0,19,per_category_round_robin,"{'Agent1': {'m5'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m1'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': {'m2'}, 'Agent10': {'m3'}, 'Agent11': set(), 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': set(), 'Agent16': {'m6'}, 'Agent17': set(), 'Agent18': set(), 'Agent19': {'m4'}}",0.0024249230009445
True,1,1,0,19,capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m1'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': {'m2'}, 'Agent10': {'m3'}, 'Agent11': set(), 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': set(), 'Agent16': {'m6'}, 'Agent17': set(), 'Agent18': set(), 'Agent19': {'m4'}}",0.0006506300014734
True,1,1,0,19,per_category_capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': set(), 'Agent3': set(), 'Agent4': set(), 'Agent5': {'m1'}, 'Agent6': set(), 'Agent7': set(), 'Agent8': set(), 'Agent9': {'m2'}, 'Agent10': {'m3'}, 'Agent11': set(), 'Agent12': set(), 'Agent13': set(), 'Agent14': set(), 'Agent15': set(), 'Agent16': {'m6'}, 'Agent17': set(), 'Agent18': set(), 'Agent19': {'m4'}}",0.0024808289999782
