equal_capacities,category_count,item_capacity_bounds,random_seed_num,binary_valuations,num_of_agents,algorithm,allocation,runtime
True,1,1,0,True,1,per_category_round_robin,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.0004327269998611
True,1,1,0,True,1,capped_round_robin,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.0003573549984139
True,1,1,0,True,1,per_category_capped_round_robin,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.0005118970002513
True,1,1,0,True,1,iterated_priority_matching,"{'Agent1': {'m4', 'm5', 'm6', 'm1', 'm3', 'm2'}}",0.0021095150004839
True,1,1,0,True,2,per_category_round_robin,"{'Agent1': {'m4'}, 'Agent2': {'m5'}}",0.0004424450016813
True,1,1,0,True,2,capped_round_robin,"{'Agent1': {'m4'}, 'Agent2': {'m5'}}",0.0003333599997858
True,1,1,0,True,2,per_category_capped_round_robin,"{'Agent1': {'m4'}, 'Agent2': {'m5'}}",0.0004776020032295
True,1,1,0,True,2,iterated_priority_matching,"{'Agent1': {'m6'}, 'Agent2': {'m1'}}",0.0006479439980466
True,1,1,0,True,3,per_category_round_robin,"{'Agent1': {'m2'}, 'Agent2': {'m1'}, 'Agent3': {'m6'}}",0.0005158150015631
True,1,1,0,True,3,capped_round_robin,"{'Agent1': {'m2'}, 'Agent2': {'m1'}, 'Agent3': {'m6'}}",0.0003768119968299
True,1,1,0,True,3,per_category_capped_round_robin,"{'Agent1': {'m2'}, 'Agent2': {'m1'}, 'Agent3': {'m6'}}",0.0004886129972874
True,1,1,0,True,3,iterated_priority_matching,"{'Agent1': {'m5'}, 'Agent2': {'m1'}, 'Agent3': {'m2'}}",0.000802485999884
True,1,1,0,True,4,per_category_round_robin,"{'Agent1': {'m1'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m4'}}",0.0005783020023955
True,1,1,0,True,4,capped_round_robin,"{'Agent1': {'m1'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m4'}}",0.0004033320001326
True,1,1,0,True,4,per_category_capped_round_robin,"{'Agent1': {'m1'}, 'Agent2': {'m6'}, 'Agent3': {'m2'}, 'Agent4': {'m4'}}",0.0005653480002365
True,1,1,0,True,4,iterated_priority_matching,"{'Agent1': {'m2'}, 'Agent2': {'m6'}, 'Agent3': {'m5'}, 'Agent4': {'m1'}}",0.0008616679988335
True,1,1,0,True,5,per_category_round_robin,"{'Agent1': {'m5'}, 'Agent2': {'m2'}, 'Agent3': {'m1'}, 'Agent4': {'m4', 'm3'}, 'Agent5': {'m6'}}",0.0006946319990674
True,1,1,0,True,5,capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': {'m2'}, 'Agent3': {'m1'}, 'Agent4': {'m4', 'm3'}, 'Agent5': {'m6'}}",0.0004784440025105
True,1,1,0,True,5,per_category_capped_round_robin,"{'Agent1': {'m5'}, 'Agent2': {'m2'}, 'Agent3': {'m1'}, 'Agent4': {'m4', 'm3'}, 'Agent5': {'m6'}}",0.000684523001837
True,1,1,0,True,5,iterated_priority_matching,"{'Agent1': {'m4', 'm1'}, 'Agent2': {'m5'}, 'Agent3': {'m2'}, 'Agent4': {'m3'}, 'Agent5': {'m6'}}",0.0011847780006064
True,1,1,0,True,6,per_category_round_robin,"{'Agent1': {'m3'}, 'Agent2': {'m4'}, 'Agent3': {'m1'}, 'Agent4': {'m6'}, 'Agent5': {'m2'}, 'Agent6': {'m5'}}",0.0008715059993846
True,1,1,0,True,6,capped_round_robin,"{'Agent1': {'m3'}, 'Agent2': {'m4'}, 'Agent3': {'m1'}, 'Agent4': {'m6'}, 'Agent5': {'m2'}, 'Agent6': {'m5'}}",0.0005638149996229
True,1,1,0,True,6,per_category_capped_round_robin,"{'Agent1': {'m3'}, 'Agent2': {'m4'}, 'Agent3': {'m1'}, 'Agent4': {'m6'}, 'Agent5': {'m2'}, 'Agent6': {'m5'}}",0.0007945510005811
